Forward looking risk free rates, 1m (estimated from govmt securities and NIBOR)
date,Rf(1m)
19791231,0.00818
19800131,0.00827
19800229,0.00822
19800331,0.00828
19800430,0.00834
19800531,0.00828
19800630,0.00837
19800731,0.00830
19800831,0.00857
19800930,0.00866
19801031,0.00818
19801130,0.00826
19801231,0.00836
19810131,0.00876
19810228,0.00890
19810331,0.00898
19810430,0.00906
19810531,0.00958
19810630,0.00992
19810731,0.01006
19810831,0.01016
19810930,0.01033
19811031,0.01034
19811130,0.01037
19811231,0.01013
19820131,0.01073
19820228,0.01092
19820331,0.01077
19820430,0.01094
19820531,0.01111
19820630,0.01117
19820731,0.01133
19820831,0.01148
19820930,0.01137
19821031,0.01186
19821130,0.01132
19821231,0.01101
19830131,0.01120
19830228,0.01117
19830331,0.01102
19830430,0.01106
19830531,0.01104
19830630,0.01090
19830731,0.01086
19830831,0.01088
19830930,0.01092
19831031,0.01074
19831130,0.01065
19831231,0.01068
19840131,0.01083
19840229,0.01049
19840331,0.01048
19840430,0.01048
19840531,0.01069
19840630,0.01052
19840731,0.01051
19840831,0.01051
19840930,0.01043
19841031,0.01046
19841130,0.01065
19841231,0.01052
19850131,0.01058
19850228,0.01063
19850331,0.01102
19850430,0.01102
19850531,0.01103
19850630,0.01091
19850731,0.01089
19850831,0.01088
19850930,0.01078
19851031,0.01069
19851130,0.01066
19851231,0.01123
19860131,0.01113
19860228,0.01107
19860331,0.01113
19860430,0.01168
19860531,0.01214
19860630,0.01187
19860731,0.01239
19860831,0.01194
19860930,0.01202
19861031,0.01226
19861130,0.01252
19861231,0.01358
19870131,0.01261
19870228,0.01245
19870331,0.01195
19870430,0.01228
19870531,0.01223
19870630,0.01201
19870731,0.01204
19870831,0.01172
19870930,0.01148
19871031,0.01263
19871130,0.01322
19871231,0.01256
19880131,0.01166
19880229,0.01151
19880331,0.01162
19880430,0.01172
19880531,0.01098
19880630,0.01063
19880731,0.01078
19880831,0.01087
19880930,0.01043
19881031,0.01027
19881130,0.01021
19881231,0.01018
19890131,0.00939
19890228,0.00988
19890331,0.00943
19890430,0.00929
19890531,0.00916
