date,EW,VW,OSEAX,OBX
19800131,0.024203,,,
19800229,0.072617,-0.053082,,
19800331,-0.059881,-0.208723,,
19800430,0.010918,0.097025,,
19800531,0.047800,0.111946,,
19800630,0.008758,-0.013971,,
19800731,0.008060,-0.017856,,
19800831,-0.008928,-0.034958,,
19800930,0.018372,0.088344,,
19801031,0.005051,-0.003135,,
19801130,0.018044,-0.008842,,
19801231,0.009032,-0.034064,,
19810131,0.164039,-0.011332,,
19810228,0.122859,0.012302,,
19810331,0.048345,-0.023466,,
19810430,0.118100,0.034071,,
19810531,-0.105135,-0.113904,,
19810630,0.001363,0.029231,,
19810731,0.148626,0.162841,,
19810831,0.022068,0.004822,,
19810930,-0.041534,-0.084390,,
19811031,0.079372,0.093816,,
19811130,0.016065,0.011822,,
19811231,-0.039925,-0.061020,,
19820131,0.079667,0.030811,,
19820228,-0.055539,-0.078553,,
19820331,-0.044214,-0.091077,,
19820430,0.025501,0.042741,,
19820531,0.050233,0.034744,,
19820630,-0.046213,-0.070245,,
19820731,0.002849,-0.012166,,
19820831,-0.041130,-0.004856,,
19820930,-0.056386,-0.058167,,
19821031,0.006556,0.037015,,
19821130,-0.058858,-0.073687,,
19821231,-0.021057,0.003941,,
19830131,0.165100,0.139591,,
19830228,0.111418,0.079391,0.087137,
19830331,0.128676,0.063358,0.072375,
19830430,0.102157,0.176303,0.158662,
19830531,-0.017637,-0.012479,-0.007345,
19830630,-0.015600,0.023860,0.004311,
19830731,0.084693,0.110518,0.093984,
19830831,0.020895,0.020185,0.006910,
19830930,0.051200,0.025268,0.032977,
19831031,0.001449,-0.019840,-0.011317,
19831130,-0.008581,0.001132,0.008599,
19831231,0.106082,0.065175,0.075772,
19840131,0.194737,0.152900,0.136986,
19840229,0.019712,0.008234,-0.004755,
19840331,0.130452,0.060792,0.080937,
19840430,0.083503,0.077102,0.075949,
19840531,-0.039799,-0.023922,-0.021815,
19840630,-0.134254,-0.131063,-0.135152,
19840731,0.061211,0.022049,0.036251,
19840831,0.048412,0.068879,0.058821,
19840930,-0.036973,-0.037410,-0.031020,
19841031,0.065627,0.041892,0.056134,
19841130,0.031974,-0.031092,-0.039086,
19841231,0.018775,0.031187,0.027176,
19850131,0.160623,0.144043,0.143896,
19850228,-0.036540,-0.035356,-0.033540,
19850331,-0.029372,-0.046509,-0.038206,
19850430,0.023638,0.060899,0.057645,
19850531,0.026835,0.028455,0.038390,
19850630,-0.043406,-0.051005,-0.044256,
19850731,0.046580,0.045657,0.044209,
19850831,0.000846,0.006354,0.009124,
